ID,CALL,CN,TYPE,HANDICAP,NAME
,,2V,Duo Discus,,
06DDEB9A,D-KFBR,BR,Duo Discus,,
,,YS,Mosquito,,
,,TX,LS 8,,
,,GF,Arcus M,,
,,L6,Nimbus 2c,,
06DF0426,D-KDNY,NY,Ventus 2cxT,,
,,304,Glasflügel 304,,
06DDEEC3,D-KERZ,RZ,ASH26,,
,,E2,Discus,,
,,BB,Kestrel 17m,,
#,old,old,#
06DD97E4,D-KBSL,SL,Ventus 2cM
06DDF036,D-KFBS,BS,Ventus 2cxM
063E783F,D-KKST,ST,DG808C-18M
06DDA524,D-KTEX,TEX,Nimbus 4M
06DDA81F,D-2016,FWS,Nimbus 2b
06DDA6DE,D-KHOL,3F,ASH 25E
06DDDD37,D-1759,IJK,Discus
